Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2025,8,NARAYANPET,MAKTHAL,Krishna,1414089,Gudeballur I,85,23,4,106,6,0,57,37,18
2025,8,NARAYANPET,MAKTHAL,Krishna,1414123,Alampally-I,30,11,2,41,2,0,22,14,7
2025,8,NALGONDA,MIRYALAGUDA (U),BANDAMIDHIGUDEM,2307005,Thakkellapadu-2,36,3,1,37,2,1,32,8,0
2025,8,HANMAKONDA,PARKAL,Shayampet,2113141,Shayampet - IV,6,1,1,7,1,0,6,2,0
2025,8,HANMAKONDA,PARKAL,Shayampet,2113154,Narsimulapally,20,2,1,22,1,0,9,6,8
2025,8,NALGONDA,MIRYALAGUDA (U),ANNARAM,2307052,Jatrath Thanda,14,1,0,14,0,1,12,3,0
2025,8,HANMAKONDA,PARKAL,Oorugonda,2106121,Musthalapalli,18,3,0,18,3,0,18,3,0
2025,8,JOGULAMBA-GADWAL,GADWAL(U),jammichedu,1405265,Jammichedu,0,0,0,0,0,0,0,0,0
2025,8,JANGAON,JANGAON,Jangaon (U),2107023,Weavers colony 3,48,4,0,51,1,0,47,5,0
2025,8,RANGAREDDY,SHADNAGAR,Kothur,1418297,peddagutta thanda,14,1,0,14,0,1,11,4,0
2025,8,NALGONDA,NALGONDA ,MANYAM CHALKA SECTOR,2313056,MANYAM BAVI-III,71,5,0,74,2,0,68,8,0
2025,8,MEDAK,NARSAPUR,Reddypally,1705285,Nandya  (ST),6,0,0,6,0,0,6,0,0
2025,8,SIDDIPET,GAJWEL,ahmadipoor,1702166,Giripally-I,54,10,0,62,2,0,53,11,0
2025,8,SIDDIPET,GAJWEL,ahmadipoor,1702252,Giripally-II,60,8,1,68,1,0,56,13,0
2025,8,NARAYANPET,MADDUR,pallerla,1411034,Medigunta Tanda,33,3,0,34,2,0,29,7,0
2025,8,MEDAK,NARSAPUR,Narsapur,1705217,Nathnaipally-II,42,3,4,44,4,1,36,12,1
